"gene","degree","betweenness","closeness","eigenvector","pagerank","rank_degree","rank_betweenness","rank_closeness","rank_eigenvector","rank_pagerank","hub_score","high_confidence"
"SDS",4,0.00485768547397381,0.176954732510288,3.69428536946246e-05,0.00296702314848834,164,133,300,314,119,206,TRUE
"HABP2",3,0.000126877896925568,0.24345364472753,0.0214855651436947,0.00150582053245895,198.5,212,187,191,245,206.7,TRUE
"KBTBD6",2,0.00581395348837209,0.213930348258706,0.00364701531959997,0.00200062105383564,247.5,120,241,236,191,207.1,TRUE
"NR1D1",3,0.0173401586548241,0.132460531382364,1.2386530997498e-07,0.00318124649344111,198.5,56,339,340,108,208.3,FALSE
"CHORDC1",3,0,0.256716417910448,0.0626891875035823,0.00129210018664144,198.5,287,165,133,265,209.7,TRUE
"IRS2",3,5.14159152032906e-05,0.229180546302465,0.0271522953934378,0.00156472299301518,198.5,221,218,177,234,209.7,FALSE
"RND1",2,0.00581395348837209,0.208484848484848,0.00669826376689868,0.00182463179445993,247.5,120,255.5,216,212.5,210.3,TRUE
"GDA",2,0.00581395348837209,0.208484848484848,0.00669826376689868,0.00182463179445993,247.5,120,255.5,217,212.5,210.5,FALSE
"THPO",2,0,0.278768233387358,0.0754331681199192,0.000992696824012815,247.5,287,88.5,120,314,211.4,TRUE
"KLF2",2,0,0.274760383386581,0.0751722012016001,0.00102731589933688,247.5,287,100,121,306,212.3,FALSE
"NOP58",2,0.00581395348837209,0.197814836112708,0.00114702096793129,0.00235952869758073,247.5,120,274.5,273,159.5,214.9,TRUE
"CLDN11",4,0.00287025109046941,0.15736505032022,3.26546483076895e-05,0.0028516375494032,164,144,324,318,125,215,TRUE
"TRA2A",2,0.00581395348837209,0.197814836112708,0.00114702096793129,0.00235952869758073,247.5,120,274.5,274,159.5,215.1,FALSE
"PDZK1",2,0.0173401586548241,0.17479674796748,0.000101826843006944,0.00233360162366358,247.5,55,305,310,164,216.3,FALSE
"ISG20",4,0,0.228875582168995,0.0080901976317112,0.00194038389957723,164,287,220,211,200,216.4,FALSE
"PER1",3,0.00581395348837209,0.11712631937351,7.29887289266889e-09,0.0035593874074538,198.5,120,342,343,86,217.9,TRUE
"PLK2",2,0.00581395348837209,0.174353775975672,0.000226612894652804,0.00271825510719395,247.5,120,307,292,132,219.7,FALSE
"ANGPTL4",2,0.00581395348837209,0.185145317545748,0.000370241746039574,0.00230420888788912,247.5,120,288,289,167,222.3,TRUE
"ALDH5A1",2,0.00134032700707578,0.215269086357947,0.0017960707295431,0.00176267228658836,247.5,156,237,258,218,223.3,FALSE
"SLC2A9",2,0.0115940063733134,0.149111400086693,5.66731636438457e-06,0.00273520356489356,247.5,77,332,330,131,223.5,TRUE
"GADD45G",3,0,0.238888888888889,0.0269477897097575,0.0014134355018406,198.5,287,199,180,254,223.7,FALSE
"ATL3",2,0.000851284984805503,0.214330218068536,0.00395283064210249,0.00160739454757729,247.5,173,238,234,227,223.9,FALSE
"IL17RB",2,0.000705566640859757,0.226912928759894,0.00418198589887169,0.00153506396374903,247.5,177,225.5,230,241,224.2,TRUE
"MTTP",2,0.00131739585305408,0.226912928759894,0.00342019351935204,0.00143114987837257,247.5,158,225.5,239,252,224.4,FALSE
"DUSP6",2,0,0.260015117157974,0.0611088014992806,0.000995673655817941,247.5,287,156,134,312,227.3,FALSE
"PLCE1",3,0,0.21039755351682,0.00182420900458969,0.00250113395376823,198.5,287,249,257,145,227.3,FALSE
"SLC22A8",2,0.00581395348837209,0.129909365558912,3.15419466462067e-07,0.00307915356738742,247.5,111.5,341,339,112,230.2,FALSE
"DHRS4",2,0.00581395348837209,0.161199625117151,1.09581609941339e-05,0.00248390590731216,247.5,120,320,328,148,232.7,FALSE
"MIOX",2,0.00366927980309155,0.191004997223765,0.000213056931667002,0.00193953062303227,247.5,138,283,296,201,233.1,FALSE
"CACYBP",2,0,0.255952380952381,0.0362674216540761,0.00100973489665472,247.5,287,166,157,310,233.5,TRUE
"LBP",1,0,0.278542510121457,0.0554845391823759,0.000714380234301723,310.5,287,90,138,345,234.1,TRUE
"RRAD",2,0,0.251461988304094,0.0337100124453043,0.0010156661743272,247.5,287,173,162,309,235.7,FALSE
"VNN1",2,0.00133615120669328,0.196908986834574,0.000884348617541297,0.00173214614645323,247.5,157,278,278,220,236.1,FALSE
"DNMT3L",2,0,0.25748502994012,0.0266710821082652,0.00102711872713406,247.5,287,163,182,307,237.3,FALSE
