gene,rank,weighted_lfc,direction_consistency
ZNF473,201,0.667721201247136,1
PHLDA1,212,0.855511391703486,1
ITPKC,217,0.723786077809085,1
ITM2A,224,-0.421169894643086,1
PER1,227,1.05204117973046,1
MYADM,234,1.46664479243998,1
CYBRD1,238,-0.498852593462068,1
HIC2,241,0.406599600631561,1
SLC14A1,244,-0.78503349614586,1
STIP1,248,0.650956298539326,1
SLC39A14,249,0.768129189461191,1
NLRP3,251,1.01365457916991,1
DUSP10,261,1.63801874194505,1
GNL3,266,0.391097281277845,1
GEM,267,1.85589617302231,1
ZFP36L1,269,1.12051561940917,1
IL6,270,2.20750582709516,1
DNAJA4,271,2.15455232059918,1
GPR3,274,0.922204396995588,1
HSPA5,276,0.631142915862037,1
DNAJA1,278,1.41531851413339,1
TNFRSF10D,284,0.735125943953184,1
ZFAND2A,295,1.56018523356899,1
TMEM168,296,-0.384117618829445,1
TSPAN6,298,-0.505622597779126,1
NAMPT,300,0.982705497411715,1
ETS2,314,0.633777535262304,1
NTN4,322,-0.486507337966401,1
CLK1,331,1.20603879538553,1
PPP1R15A,334,2.97368198192668,1
JMJD6,336,0.837289410743384,1
JUN,342,3.91166488382977,1
EDN2,344,1.12889508306865,1
PDXK,347,-0.66492522819156,1
SLC25A25,351,2.37054371848365,1
SSPN,356,-0.429459276104328,1
ESM1,358,1.13343022760353,1
ARID5B,359,0.544883187160776,1
MAFF,368,2.35930136022269,1
ABLIM3,373,0.695140228675111,1
HELB,376,0.531518939570322,1
TICAM1,383,0.713593779729067,1
TUFT1,385,0.682787434284424,1
PLAGL2,394,0.582760804826175,1
NPC1,395,0.724082110965658,1
TSPAN1,396,0.418639672496794,1
MLF1,409,0.62843741135862,1
BATF3,410,0.436202137704417,1
TRIB1,412,1.61865891251134,1
MYLIP,416,0.498008801806233,1
THBS1,418,0.542161042953624,1
IFRD1,423,1.19934641965508,1
PLK3,430,1.91625195743575,1
VPS37B,436,0.834430498852481,1
WEE1,443,1.65191818144696,1
ZMYM5,444,0.545240419039731,1
MXD4,445,-0.379105652355763,1
RELT,448,0.764240858639866,1
KBTBD6,458,-0.385510341377411,1
SRF,459,0.550412965157832,1
THPO,461,0.522284821505794,1
PLAUR,475,1.02525457787582,1
ZC3H12A,495,1.58508779183968,1
B3GNT5,496,1.39371222207075,1
RASGEF1B,519,1.5810797497729,1
SERPINH1,521,1.61202843315586,1
MYC,522,1.78740873805223,1
APOLD1,525,1.87344967352946,1
SLC13A3,526,1.59897855127846,1
SDS,529,0.466092133374553,1
HSPB1,530,1.0453088790742,1
TNFSF9,544,1.92454809526757,1
TRAF6,548,0.382044670518472,1
PPA1,549,0.416733207617707,1
ADAMTS1,552,1.99738618501388,1
CPM,557,0.443676291607444,1
S100A2,563,0.799788297862119,1
ATF4,566,0.641339424954617,1
LDLR,570,1.8386918519165,1
BRWD1,572,-0.398354852859602,1
CLDN11,573,-0.535992713144305,1
OASL,576,1.05675991752578,1
