gene,rank,weighted_lfc,direction_consistency
FGF1,258,0.634410998014144,0.666666666666667
KLF10,259,1.68505654888396,0.666666666666667
PIM3,260,0.772699635307006,0.666666666666667
DUSP10,261,1.63801874194505,1
NR1I3,262,0.344849211709574,0.666666666666667
SERTAD2,263,0.315017763562179,0.666666666666667
RHOU,264,0.482627785308233,0.666666666666667
CEBPD,265,1.3423096329883,0.666666666666667
GNL3,266,0.391097281277845,1
GEM,267,1.85589617302231,1
TMEM207,268,-0.400047326779521,0.666666666666667
ZFP36L1,269,1.12051561940917,1
IL6,270,2.20750582709516,1
DNAJA4,271,2.15455232059918,1
PHF21A,272,0.220554388032451,0.666666666666667
RMND1,273,0.0320746178750876,0.666666666666667
GPR3,274,0.922204396995588,1
SMPDL3A,275,-0.255691214258009,0.666666666666667
HSPA5,276,0.631142915862037,1
SLC15A1,277,0.378363349007352,1
DNAJA1,278,1.41531851413339,1
IDI1,279,0.662389863772883,0.666666666666667
ZNF701,280,0.50457770489135,0.666666666666667
HOOK1,281,0.394400382220107,0.666666666666667
PCK2,282,0.313267151692686,0.666666666666667
TMEM30A,283,-0.290899167481342,1
TNFRSF10D,284,0.735125943953184,1
TP53INP1,285,0.285194727536596,1
ZNF136,286,0.251428881694811,0.666666666666667
IKZF4,287,0.256260335579374,1
CDKN1A,288,1.01552517040436,0.666666666666667
STEAP1,289,-0.0570902232548785,0.666666666666667
HPCAL4,290,1.17917612865854,0.666666666666667
FOXQ1,291,0.670062426796028,0.666666666666667
STARD13,292,0.392278919037141,0.666666666666667
KMO,293,-0.00955155156685067,0.666666666666667
SEPHS1,294,-0.196779889540116,0.666666666666667
ZFAND2A,295,1.56018523356899,1
TMEM168,296,-0.384117618829445,1
ALG10B,297,-0.241610562013276,1
TSPAN6,298,-0.505622597779126,1
CCL2,299,1.6093096028923,0.666666666666667
NAMPT,300,0.982705497411715,1
EID3,301,0.390954143070404,0.666666666666667
EGR2,302,3.93975483798512,0.666666666666667
