gene_symbol,log2FoldChange,pvalue,t_statistic,mean_case,mean_ctrl,padj,comparison,dataset,ischemia_also
ARPC1B,0.38688393604726024,6.667008335816235e-10,7.253241319263971,7.72657670870351,7.3396927726562495,3.17983038166419e-08,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ARSB,-0.47429219623226615,9.641253647885545e-06,-4.996671166909389,7.808184458463073,8.282476654695339,0.0001547419371253725,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ARSE,-0.4259309079413658,8.673122858392584e-06,-4.986398226310884,7.414826147736663,7.840757055678028,0.00014065237443484997,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ARSF,-0.8155362227399614,6.802317688669052e-09,-7.239515553050004,7.153208956164597,7.968745178904558,2.552659216853176e-07,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ASB13,-0.5355456952015851,9.028998380236932e-10,-7.487622479308465,7.775235580790961,8.310781275992547,4.18034414820753e-08,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ASB9,-0.591325894141379,1.2921091197747949e-10,-8.298814958459847,7.05429812828312,7.645624022424499,6.915414038367213e-09,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ASNS,0.4989464379104751,1.0208874737979196e-08,6.707038991440389,8.048804161467313,7.549857723556838,3.6705703726715457e-07,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ASPA,-0.6893540492921417,3.436309835090991e-11,-8.130744086732522,7.8488734133410905,8.538227462633232,2.041740760349897e-09,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ASS1,-0.7018569283738305,0.008069485805849232,-2.772641371992995,11.452523551435519,12.15438047980935,0.04474809641374369,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ATF3,0.4051224635634014,1.0095895217989483e-32,14.563617254256199,6.965320174610176,6.560197711046775,9.876837770585199e-30,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ATF4,0.4845298538034122,4.1510933751495266e-14,9.19111447810077,8.422704110437149,7.9381742566337365,4.033996466200056e-12,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
ATL3,0.4553641319320514,3.005438668378797e-20,12.84141931619246,7.752913779248962,7.29754964731691,7.616252317029569e-18,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ATP6V0E2,-0.5602724971113862,1.0373637906185902e-06,-5.54325483992749,9.80718236387912,10.367454860990506,2.2208031847303936e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ATP6V1B1,-0.4435807123649518,0.007827207624475724,-2.768856693959601,10.268426846184619,10.71200755854957,0.0436042540029416,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ATPIF1,-0.42092897135342966,4.961841355840625e-07,-5.704362003657579,9.461868604341761,9.882797575695191,1.170009979350603e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
AUTS2,-0.39150124128275365,4.8447565494324744e-08,-6.510254589288883,8.642039802900985,9.033541044183739,1.4996642661146129e-06,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
AVP,-0.45755426382887254,2.2731691497581737e-07,-6.082486361473687,6.890096337056502,7.347650600885374,5.913754274760488e-06,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
AXUD1,1.6558696249285347,2.016763128558209e-16,11.792119520774943,10.57745581586758,8.921586190939045,2.8092441897039133e-14,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
AZGP1,-0.5262486058841116,0.0044276771625083,-2.993497184657855,8.783400667516005,9.309649273400117,0.02752055189054915,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
B3GNT1,-0.5067758741432797,7.005207950616361e-11,-8.104292532639063,8.27828286782453,8.78505874196781,3.966192232282349e-09,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
B3GNT6,-0.5007394635547522,3.0721620892142645e-12,-8.831435849848443,7.727241730659618,8.22798119421437,2.1941705026651353e-10,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
B4GALT5,0.6735889800917843,1.7918951992178143e-13,9.522750158933455,9.628282712460464,8.95469373236868,1.5704094863644956e-11,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
BAG3,1.2897062130695485,1.6388510179109084e-28,14.888910025145424,10.508570003665524,9.218863790595975,1.0289782950814654e-25,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
BCL3,1.3048016554282666,3.92582514955757e-15,10.737002662676593,8.992522009398634,7.687720353970367,4.485253133006168e-13,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
BCL6,1.379268851608911,5.4689900720876014e-12,9.218606532441354,9.649786159879387,8.270517308270476,3.7167044485058015e-10,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
BCYRN1,0.38892553960977416,0.0030336220209209223,3.148670395132537,10.30298541672,9.914059877110226,0.02020892880985697,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
BHLHB2,1.380971447087619,7.946521500473642e-14,10.33287316608473,11.635371715356559,10.25440026826894,7.41211352462139e-12,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
BHMT,-0.9990774766610375,0.0009838107745895166,-3.522291282292059,11.098297136878369,12.097374613539406,0.00794508885672052,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
BHMT2,-0.5890596046289058,0.0006872352236729139,-3.647905760432095,9.746777130573161,10.335836735202067,0.005909632901522581,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
BIRC3,1.2305147965133303,2.4698468437771535e-24,13.557359104291729,8.440807376836036,7.210292580322705,9.895147350207003e-22,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
BLZF1,0.51500116025775,0.0016147601221176845,3.345712071351806,9.898416355392543,9.383415195134793,0.011967983524763354,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
BMS1P5,0.6213010507351839,0.00031437583443068556,3.8998826081728515,12.217780755743968,11.596479705008784,0.0030543844349134232,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
BNIP3L,-0.37941880339178624,3.661266158333282e-08,-6.530968278912294,8.867857855904271,9.247276659296057,1.171243220400047e-06,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
BPHL,-1.0175580142507545,2.0133855668732165e-08,-6.813120548238536,9.697401624328252,10.714959638579007,6.802979168004466e-07,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
BPI,-0.5327644811497825,6.056126792952419e-06,-5.2462391915800515,7.051772862346872,7.584537343496654,0.00010247911737696276,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
BRD2,0.7138303245945217,9.038332369658344e-16,10.664041542272994,10.641171039307029,9.927340714712507,1.1521682660436897e-13,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
BRP44L,-0.39328736437836653,0.00031127979308865803,-3.8968454504548253,10.104418284112816,10.497705648491182,0.003031159040708467,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
BRWD1,-0.4106766858632742,4.468341908443601e-15,-9.96880138487522,7.976573367572584,8.387250053435858,5.025928851938422e-13,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
BTG2,1.9077529217300935,4.5134834639099655e-13,10.206068800410842,10.777726078332847,8.869973156602754,3.737573009375994e-11,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C10orf10,1.7809204865623691,2.1789045806860646e-35,20.82891860367057,9.615945416199363,7.835024929636994,2.7775751210824445e-32,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C10orf116,-0.38844207012711784,0.0033840751787625545,-3.094047880809616,11.08441482066503,11.472856890792148,0.02210869553424513,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C10orf140,-0.39264627808662045,8.855851757400428e-09,-7.023783825848695,7.192565660715873,7.585211938802494,3.2282419053601715e-07,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C10orf33,-0.391061646922239,8.203091449053274e-08,-6.379469010474058,7.064845526526288,7.455907173448527,2.390360493426532e-06,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C10orf58,-0.421772705830632,4.2018518124878945e-11,-7.60191949394161,9.489177129721046,9.910949835551678,2.4756204509233647e-09,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C10orf59,-0.6434753080601583,2.2236065477434344e-13,-10.111933513844932,7.5941909941188035,8.237666302178962,1.9286692091530526e-11,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C10orf65,-0.7515740308981105,4.5576823659203906e-08,-6.380672301974474,9.292609352469043,10.044183383367153,1.4223147187475745e-06,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C11orf1,-0.6601022006458024,1.52490434448051e-15,-11.4793343158824,9.255060695895073,9.915162896540876,1.8486498864340525e-13,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C11orf54,-0.5630854134154966,0.001484335660908016,-3.378552746065336,10.995313807812082,11.558399221227578,0.011140329749762269,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C11orf63,0.3970742492125918,0.0039464649034446925,3.028758150319874,8.483538399070095,8.086464149857504,0.025069503574639326,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C12orf27,-0.45638531980580144,1.6027810888282815e-08,-6.681382203458142,7.42550263974399,7.8818879595497915,5.549316219237804e-07,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C13orf15,0.38308931778248123,0.008734361842466598,2.7382040789573394,9.764276811758286,9.381187493975805,0.047668280948409664,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C13orf7,0.5053474355924479,7.118440405854986e-22,12.947905515149824,7.7095848593830505,7.204237423790603,2.218158759652605e-19,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C14orf153,0.6150375784365636,0.0008909140794188908,3.5513163215220294,11.427707503031407,10.812669924594843,0.007317079769409309,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C14orf167,-0.6995980043485925,4.298955021897124e-12,-8.769081281886727,8.214818846487086,8.914416850835678,2.9695261232536346e-10,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C14orf43,0.49017708941548577,4.041965348662295e-07,5.615633585356246,8.646476439914446,8.15629935049896,9.788909402543279e-06,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C14orf85,0.5956734656549152,0.0003015068181174704,3.9116287941134056,12.638496667708266,12.04282320205335,0.0029523946270362264,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C15orf63,0.5421807480989482,0.0012163221920233989,3.4497456592612274,11.46657481121379,10.924394063114843,0.009457860564112444,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C16orf80,0.5005938684718068,2.2331991788960587e-18,11.599171268824497,8.836077782263308,8.335483913791501,4.349258789750949e-16,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C18orf56,-0.5277343578415845,0.00018815326235596116,-4.056148986069557,7.7110882465297745,8.238822604371359,0.0019932116060257412,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C19orf22,0.38379806950822726,8.980376463002375e-10,7.094048750832149,8.655420855960408,8.27162278645218,4.165132267575754e-08,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C19orf69,-0.7018965254701506,1.7540306412892837e-06,-5.4768372833372405,7.523699020893186,8.225595546363337,3.493693512647552e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C1QB,0.9506472541271433,1.7490497572925052e-17,10.886262267754603,8.477202133402583,7.52655487927544,2.808292982443657e-15,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C1QC,0.48455440784850623,3.812865736697252e-12,7.899360029197542,8.122986631561055,7.638432223712549,2.659963896279325e-10,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C1R,0.5790420007250594,6.187449347467105e-20,11.037272824460777,7.806850288665771,7.227808287940712,1.4873567525708497e-17,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C1orf115,-0.49146320911072117,1.2628562875522703e-09,-7.606253725243629,9.252810637514354,9.744273846625076,5.663600794079035e-08,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C1orf133,-0.4697549852805425,8.744142240002675e-08,-6.434328287056784,7.282071362308832,7.7518263475893745,2.5281088083174745e-06,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C2,0.4236729341782466,2.5162379268157285e-16,9.430978286593415,7.408625106836176,6.98495217265793,3.45916930939076e-14,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C20orf108,-0.38358872025189505,6.234885757806558e-08,-6.2148612172990605,8.193701043092455,8.57728976334435,1.8749016250791469e-06,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C20orf127,-0.6142126395699936,0.000838598097529189,-3.5622524963828566,8.996842465674808,9.611055105244802,0.00696442743376295,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C20orf24,0.4428478152612403,2.4632892368429977e-13,8.837991679849532,11.212191830583057,10.769344015321817,2.1104519007387858e-11,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C21orf24,0.4272359550578244,0.0005403876087149277,3.7116335805432934,12.370361945020397,11.943125989962573,0.004822334649090128,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C21orf55,0.4041140948609403,0.00012225727517994108,4.199146519754071,13.01232503165168,12.608210936790739,0.0013769737068258583,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C2CD4B,0.8054081696936697,1.6951829300243955e-13,8.932438050778087,7.890583174149765,7.0851750044560955,1.498135720952442e-11,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C2orf18,0.4814900880336763,4.1693217940409945e-19,11.395861552217598,7.5629063984611,7.081416310427423,8.994403072303718e-17,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C2orf40,-0.8193033046511777,1.1704517084137943e-09,-7.539167209068494,7.806169218629635,8.625472523280813,5.294343227725063e-08,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C2orf69,0.5500080701918737,0.0002629967027440309,3.950082568813652,11.64410459098519,11.094096520793316,0.002629779485222997,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C3,0.4297886939370281,4.5478897088292806e-15,8.481102279137104,7.168709034608799,6.738920340671771,5.101762036835236e-13,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C3orf34,0.5535494854668492,0.0011002683526264222,3.478760767644096,12.063342902001452,11.509793416534603,0.008714929163987141,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C4orf31,-0.3947319479821729,0.00036194452748886894,-3.8593566303480373,7.282941015677208,7.677672963659381,0.003438554751100779,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C5orf13,-0.9981783244821827,2.7174076129262284e-21,-14.335520961521258,8.140816577733581,9.138994902215764,7.776407214487595e-19,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C5orf23,-1.1138664876921105,4.398810784950619e-09,-7.36218760804035,8.207759682923164,9.321626170615275,1.7277756609758886e-07,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
