gene_symbol,log2FoldChange
AIM2,0.06425583081567243
AIMP2,0.16303844329502226
AIP,-0.11805597867650697
AIPL1,0.004629171415910349
AIRE,0.4358436842154152
AJAP1,-0.08202439387488347
AK1,0.10279118038578883
AK2,0.08190279756169438
AK2P2,0.15044596512323505
AK3,-0.29045866104025997
AK3L1,-0.346774723979685
AK5,-0.0642611327733622
AKAP1,-0.18111744234350358
AKAP10,0.01324055199034646
AKAP11,-0.22917429102159126
AKAP12,0.21936331315595403
AKAP13,-0.10288959086008997
AKAP14,-0.04350281268161904
AKAP2,0.02271533498859135
AKAP3,0.007166612331268141
AKAP4,0.006795472723795548
AKAP5,-0.0074381713548064
AKAP7,-0.1181228998247672
AKAP8,-0.008661991836937055
AKAP8L,0.11211666926580666
AKAP9,0.030651142694625655
AKIRIN1,0.2265323307544591
AKIRIN2,0.10470057315447256
AKNA,0.04422813340580145
AKNAD1,0.017618296276258327
AKR1A1,-0.1710926808087727
AKR1B1,0.08002257572287164
AKR1B10,0.12925419483965062
AKR1B15,0.08730287742350207
AKR1C2,0.2702911077640415
AKR1C3,-0.15941475692058837
AKR1C4,-0.1547274967270198
AKR1CL1,0.019297965218975754
AKR1D1,0.35165460834593176
AKR1E2,-0.013031532355942232
AKR7A2,-0.5183439316143126
AKR7A3,-0.33577754106338276
AKR7L,0.0024838416218191384
AKT1,-0.10050109112845096
AKT1S1,-0.03104437461014342
AKT3,0.021966791625109394
AKTIP,-0.13333775293586392
ALAD,-0.9555292725235809
ALAS1,0.27865382850240206
ALAS2,0.02954737325141732
ALB,-0.8593406211347627
ALCAM,-0.15646941056548336
ALDH16A1,0.03755238134168426
ALDH18A1,0.1891144507255058
ALDH1A1,-0.3507823532404828
ALDH1A2,0.0910414464664413
ALDH1A3,0.15090099626507847
ALDH1B1,0.10356615407630976
ALDH1L1,-0.39923955175730086
ALDH1L2,0.02132010595520395
ALDH2,-0.6074937265768003
ALDH3A1,0.10490265890091344
ALDH3A2,-1.3928552255509263
ALDH3B1,-0.4399420303937225
ALDH3B2,-0.012526069604258616
ALDH4A1,-0.17468000545253837
ALDH5A1,-0.6657520689515746
ALDH6A1,-0.5249437645842647
ALDH7A1,-0.5885160856668818
ALDH8A1,-0.3202874040622934
ALDH9A1,-0.3520523209154316
ALDOA,0.14433326650718925
ALDOB,-0.27784001769058797
ALDOC,-0.008171879740717536
ALG1,-0.03724215387666163
ALG10,-0.04482088653543048
ALG10B,-0.19468034603661977
ALG11,-0.08476148298796637
ALG12,0.007045669714156766
ALG13,0.05804928354632821
ALG14,-0.1960830694972513
ALG1L,-0.052661167476609094
ALG2,0.05852894311819057
ALG3,0.14256259060246723
ALG5,-0.04449444140224834
ALG6,0.1042056876637103
ALG8,-0.1363161595852347
ALG9,0.09395564639533838
ALK,0.06587073953628586
ALKBH1,0.02541673379516407
ALKBH2,-0.021613682717783966
ALKBH3,-0.05300142582077427
ALKBH4,-0.08412000728528568
ALKBH5,-0.22994112620121854
ALKBH6,-0.022984780642977043
ALKBH7,-0.2703631854183044
ALKBH8,-0.009441838153946058
ALLC,-0.02431192437207841
ALMS1,-0.022813961538950878
ALMS1P,0.011880569324244306
ALOX12,-0.011633646813146825
ALOX12P2,0.03349621286214699
ALOX15,-0.01617248536438165
ALOX15B,-0.07121048544749442
ALOX5,0.1651950509848099
ALOX5AP,0.4130418110546721
ALOXE3,0.02751959454049757
ALPI,-0.005410730606324243
ALPK1,0.30505999386262683
ALPK2,0.08307465541088987
ALPK3,0.028378050846789016
ALPL,-0.26159170381201946
ALPP,0.4839500673292534
ALPPL2,-0.0011372362204271624
ALS2,0.06762975735451704
ALS2CL,0.013260701733876168
ALS2CR12,-0.06765661447467508
ALS2CR14,0.29152252791763456
ALS2CR16,-0.0003283332125176841
ALS2CR4,-0.09369598060291384
ALS2CR8,-0.00816837093969447
ALX1,-0.024616978077838247
ALX3,-0.014430449245733001
ALX4,-0.030430963330561944
AMAC1L1,0.0022100519020069598
AMAC1L2,0.06210382311660112
AMAC1L3,-0.015405494022618704
AMACR,0.5730200987285485
AMBN,-0.024067040412905527
AMBRA1,0.03922368247988928
AMD1,0.09288009957280341
AMDHD1,-0.3987623982045738
AMDHD2,-0.06498477070307374
AMELX,0.0022362682987004945
AMELY,-0.017277265289792787
AMFR,0.15575989190648798
AMICA1,0.034740297115584795
AMIGO1,-0.004337808942122656
AMIGO2,0.03982213512049615
AMIGO3,0.006601886010765057
AMMECR1,0.02476947900683424
AMMECR1L,0.01008562340477237
AMN,-0.013866043914931403
AMN1,-0.12696994757305102
AMOT,-0.24887825980241196
AMOTL1,-0.02063650850596943
AMOTL2,0.04611228819310931
AMPD1,-0.012593970148904177
AMPD3,0.01699196984984308
AMPH,-0.2202409122270197
AMT,-0.47150040384213376
AMY1A,0.22275877376267417
AMY1B,0.08083045971319791
AMY1C,0.21506550859663065
AMY2A,-0.16129741019877564
AMY2B,-0.06592538746116094
AMZ2,-0.4202412825838895
ANAPC1,0.011394102933343753
ANAPC10,0.04148619357667904
ANAPC11,-0.25423562052426263
ANAPC13,-0.2433272352716589
ANAPC2,-0.04438496950095416
ANAPC4,0.14663378262231763
ANAPC5,-0.2343492558402609
ANAPC7,0.03950335990317644
ANG,-0.22472820738095933
ANGEL1,-0.07884116236924665
ANGEL2,-0.24829950277422164
ANGPT1,-0.19000993187163395
ANGPT2,0.0239846531307375
ANGPTL1,-0.04361598514277354
ANGPTL2,-0.38962580705435723
ANGPTL3,-0.6740110339785765
ANGPTL4,0.1615419033163219
ANGPTL5,0.0268966182448942
